[MoviePy] >>>> Building video output.mp4
[MoviePy] Writing video output.mp4
[MoviePy] Done.
[MoviePy] >>>> Video ready: output.mp4 

         1172247431 function calls (1172212343 primitive calls) in 5261.091 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.005    0.001 <decorator-gen-8>:1(use_clip_fps_by_default)
        1    0.000    0.000    0.000    0.000 <decorator-gen-90>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-91>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-92>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-93>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-94>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-95>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-96>:1(<module>)
        7    0.000    0.000    0.004    0.001 <decorator-gen-96>:1(catch_config_error)
        1    0.000    0.000    0.000    0.000 <decorator-gen-97>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-98>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-99>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
  113/112    0.002    0.000    0.322    0.003 <frozen importlib._bootstrap>:1043(__import__)
     2418    0.023    0.000    0.025    0.000 <frozen importlib._bootstrap>:119(release)
     1565    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:159(__init__)
     1565    0.013    0.000    0.077    0.000 <frozen importlib._bootstrap>:163(__enter__)
     1565    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap>:170(__exit__)
     2418    0.038    0.000    0.053    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
     1743    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:190(cb)
      853    0.007    0.000    0.030    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
   1839/8    0.007    0.000   19.887    2.486 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
     1348    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
     1351    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:310(__init__)
     1351    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:314(__enter__)
     1351    0.018    0.000    0.032    0.000 <frozen importlib._bootstrap>:321(__exit__)
     5398    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
     1176    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1586    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:372(__init__)
     2522    0.009    0.000    0.070    0.000 <frozen importlib._bootstrap>:406(cached)
     1351    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:419(parent)
     1351    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:427(has_location)
